xlsPBID,xlsMemberID,FR25,FR50,FR100,FR200,FR400,BR25,BR50,BR100,BR200,BR400,BA25,BA50,BA100,BA200,BA400,BU25,BU50,BU100,BU200,BU400,ME25,ME50,ME100,ME200,ME400
71,74,00:00:24,00:00:52.9200000,00:00:00,00:00:00,00:00:00,00:00:31.9400000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:32.9700000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:32.1900000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
72,75,00:00:17.6500000,00:00:43.3900000,00:00:00,00:00:00,00:00:00,00:00:27.1900000,00:01:01.6000000,00:00:00,00:00:00,00:00:00,00:00:28.0900000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
73,76,00:00:46.0500000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:50.8400000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:46.1900000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:53.7200000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
74,77,00:00:21.4200000,00:00:52.4800000,00:00:00,00:00:00,00:00:00,00:00:27.1300000,00:00:59.5400000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:24.6900000,00:01:07.6200000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
75,78,00:00:39.9600000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:46.9500000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
76,79,00:00:36.5300000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:37.3800000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
77,80,00:00:34.3400000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:47.1000000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
78,81,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
79,82,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:24.6800000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
80,83,00:00:26.4500000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:39.8100000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:48,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
